# Resultfile Programm VECTO_CSE 2.0.1-beta0 Comp 23/06/2014
# Datafile: ,d:\Work\vecto-cse.git\CSE\bin\Debug\DemoData\DataDemo_CAL.csdat
#
Time [s],Lat [mm.mm],Long [mm.mm],Heading [¡],v_veh_GPS [km/h],v_veh_CAN [km/h],vair_ar [m/s],beta_ar [¡],n_eng [rpm],tq_l [Nm],tq_r [Nm],t_amb_veh [¡C],t_tire [¡C],Satelites [#],Zone (UTM) [-],Lat (UTM) [m],Long (UTM) [m],Sec_ID [-],Dir_ID [-],Lat (root) [m],Long (root) [m],dist (root) [m],slope_deg [°],altitude [m],v_veh [km/h],dist [m],vair_ic [m/s],vair_uf [m/s],vair [m/s],beta_ic [°],beta_uf [°],beta [°],vwind_ha [m/s],vwind [m/s],vwind 1s [m/s]
41407,2873.85848425742,456.699902871287,45,70.4809603960396,72.5953892079208,15.0295121013861,1.74732673267327,1797.42574257426,3762.31881188119,3648.43564356436,20,40,10,32,5305856.45279537,396232.77191019,0,0,0,0,0,0,0,70.4809603960395,358.093752255225,30.0590242027723,16.1200880685488,16.8251392548184,1.74732673267327,1.76196694160312,1.34651476205959,3.7667615369927,2.98841426039065,2.96500871809619
41408,2873.86500376238,456.712445445545,45,71.8090297029703,73.9633005940594,15.7919158415842,4.26940594059406,1830.34158415842,3709.84158415842,3553.75445544554,20,40,10,32,5305868.24823199,396248.613055381,0,0,0,0,0,0,0,71.8090297029702,377.863259873487,31.5838316831683,16.9378135777255,17.5487617695558,4.26940594059406,4.28404614952391,3.29148741280405,3.42959604152487,2.72091918142895,2.78146098069319
41409,2873.87163960396,456.725221881188,45,73.1143465346535,75.307776930693,15.6441331136634,4.51495049504951,1860.43564356436,3653.00297029703,3466.61683168317,20,40,10,32,5305880.25396998,396264.749324531,0,0,0,0,0,0,0,73.1143465346533,397.995090841584,31.2882662273267,16.7793073951546,17.4979912576495,4.51495049504951,4.52959070397936,3.46086701895959,3.88265962199169,3.08036366747721,3.00805241220906
41410,2873.87838326733,456.73823029703,45,74.3460099009901,76.5763901980198,16.7107238724752,2.52643564356436,1891.06930693069,3565.75643564356,3418.93564356436,20,40,10,32,5305892.45428147,396281.178087201,0,0,0,0,0,0,0,74.34600990099,418.478310368537,33.4214477449505,17.9232924326703,18.4790808083487,2.52643564356436,2.54107585249421,1.96389072423389,3.10755888896241,2.46542639016996,2.54510487556412
41411,2873.88524871287,456.751442772277,45,75.5576435643565,77.8243728712871,16.9788223323762,2.79594059405941,1925.12871287129,3561.88118811881,3281.71584158416,20,40,10,32,5305904.87565338,396297.865024513,0,0,0,0,0,0,0,75.5576435643563,439.296968729373,33.9576446647525,18.2108447334698,18.7763788847737,2.79594059405941,2.81058080298926,2.17807267113284,3.20222766265298,2.54053321881632,2.50404972532924
41412,2873.89225,456.764833465346,45,76.6786336633664,78.9789926732673,17.423896039703,2.91306930693069,1951.35643564356,3518.07623762376,3225.63366336634,20,40,10,32,5305917.54470915,396314.77841085,0,0,0,0,0,0,0,76.6786336633663,460.445591281627,34.8477920794059,18.6882140127054,19.217317677302,2.91306930693069,2.92770951586055,2.26517613021785,3.12524166426702,2.47945527343338,2.41917996307929
41413,2873.89937455446,456.778390495049,45,77.7409702970297,80.0731994059406,18.0090594059406,1.18267326732673,1793.44059405941,3313.8900990099,3047.18118811881,20,40,10,32,5305930.43842476,396331.903024162,0,0,0,0,0,0,0,77.7409702970296,481.898209240924,36.0181188118812,19.31583817872,19.7769036765132,1.18267326732673,1.19731347625659,0.927102862007559,2.81099187644914,2.23014069962326,2.32739057811268
41414,2873.9066170297,456.79209990099,45,78.7290693069307,81.0909413861386,17.3462926292079,0.0812871287128713,1707.42079207921,2716.44158415842,2561.44851485149,20,40,10,32,5305943.5472108,396349.221293255,0,0,0,0,0,0,0,78.7290693069306,503.633082425742,34.6925852584158,18.6049795202508,19.2699858830506,0.0812871287128713,0.0959273376427287,0.0723632435060687,3.6307299216836,2.88049162842646,2.80217010034534
41415,2873.91392851485,456.80590039604,45,78.7093366336633,81.0706167326733,17.3462623759406,-0.634455445544555,1818.60891089109,525.442574257425,503.521782178218,20,40,10,32,5305956.78184019,396366.655245154,0,0,0,0,0,0,0,78.7093366336632,525.535710396038,34.6925247518812,18.6049470717368,19.2682448182521,-0.634455445544555,-0.619815236614697,-0.470699593823816,3.64088560942496,2.88854878887379,2.87570633491488
41416,2873.92120366337,456.819606831683,45,78.0325544554455,80.3735310891089,17.2138668863366,3.5029702970297,1686.05445544554,356.368316831683,353.743564356436,20,40,10,32,5305969.95131722,396383.970742931,0,0,0,0,0,0,0,78.0325544554454,547.302135506049,34.4277337726733,18.4629446608869,19.1165272005642,3.5029702970297,3.51761050595956,2.70282315261109,3.61102444420471,2.86485800539846,2.87274737231829
41417,2873.92841267327,456.833198811881,45,77.3018712871288,79.6209274257426,16.771605610198,3.14574257425743,1673.0297029703,266.442574257426,313.742574257426,20,40,10,32,5305983.00089346,396401.14139052,0,0,0,0,0,0,0,77.3018712871286,568.876784735972,33.543211220396,17.9885918893152,18.6994419292771,3.14574257425743,3.16038278318728,2.42004505969182,3.79668791666418,3.01215678268567,3.03157889287641
41418,2873.93555742574,456.846661584158,45,76.5916633663366,78.8894132673267,16.8606012104951,3.25128712871287,1655.0099009901,275.088118811881,338.939603960396,20,40,10,32,5305995.93438214,396418.148876107,0,0,0,0,0,0,0,76.5916633663366,590.251430858085,33.7212024209901,18.0840452150668,18.7312691410091,3.25128712871287,3.26592733764272,2.51124613029815,3.67109437151779,2.91251534331063,2.83274110726979
41419,2873.94264019802,456.859998118812,45,75.8722871287129,78.1484557425743,18.0224653465346,5.17643564356436,1642.25247524752,428.455445544554,460.765346534654,20,40,10,32,5306008.75593362,396434.996977471,0.881188118811881,0.881188118811881,4675591.25513096,349335.751247818,8.18241494141283,0,0,75.8722871287128,611.426548899889,36.0449306930693,19.3302168851983,19.677984569662,5.17643564356436,5.19107585249421,4.04876816094632,2.60459317032709,2.06639132747856,2.12566532155794
41420,2873.94966653465,456.873242475248,45,75.6807722772277,77.9511954455445,18.2861683168317,4.96366336633663,1644.00495049505,2216.21683168317,2179.22772277228,20,40,10,32,5306021.4750557,396451.728306776,1,1,5306020.52135415,396452.505243358,29.0257183262561,0,0,75.6807722772276,632.445347992298,36.5723366336634,19.6130547495581,19.8921035167764,4.96366336633663,4.97830357526649,3.89658922329846,2.35786741326063,1.87064791139501,1.92739599619329
41421,2873.95671326733,456.886556138614,45,76.463099009901,78.756991980198,17.5624735973267,4.67811881188119,1665.31683168317,3315.21089108911,3235.7198019802,20,40,10,32,5306034.23045703,396468.546571493,1,1,5306033.84517769,396468.86044077,50.1211385885365,0,0,76.4630990099009,653.557684295929,35.1249471946535,18.8368470766499,19.3219913640253,4.67811881188119,4.69275902081104,3.63900965815681,3.00656402340956,2.38530066586268,2.30318913278347
41422,2873.96383752475,456.900059009901,45,77.5531386138614,79.8797327722773,17.8749405940594,4.6270297029703,1689.33168316832,3495.37326732673,3350.96534653465,20,40,10,32,5306047.12528114,396485.603022248,1,1,5306047.34125304,396485.427079921,71.4892826984635,0,0,77.5531386138613,674.949320324531,35.7498811881188,19.1719873973647,19.6497537188511,4.6270297029703,4.64166991190015,3.59720546485631,2.98377874606662,2.36722363946483,2.39345361957679
